Kanal,Einkaufspreis,Datum,Anzahl Bundle
FLA, 5-10€,01/02/2019,0.00
FLA, 5-10€,02/02/2019,2.00
FLA, 5-10€,03/02/2019,4.00
FLA, 5-10€,04/02/2019,1.00
FLA, 5-10€,05/02/2019,5.00
FLA, 5-10€,06/02/2019,1.00
FLA, 5-10€,07/02/2019,1.00
FLA, 5-10€,08/02/2019,2.00
FLA, 5-10€,09/02/2019,3.00
FLA, 5-10€,10/02/2019,2.00
FLA, 5-10€,11/02/2019,3.00
FLA, 5-10€,12/02/2019,4.00
FLA, 5-10€,13/02/2019,0.00
FLA, 5-10€,14/02/2019,5.00
FLA, 5-10€,15/02/2019,4.00
FLA, 5-10€,16/02/2019,4.00
FLA, 5-10€,17/02/2019,5.00
FLA, 5-10€,18/02/2019,1.00
FLA, 5-10€,19/02/2019,3.00
FLA, 5-10€,20/02/2019,4.00
FLA, 5-10€,21/02/2019,0.00
FLA, 5-10€,22/02/2019,0.00
FLA, 5-10€,23/02/2019,1.00
FLA, 5-10€,24/02/2019,8.00
