Einkaufspreis;Kanal;Datum;Jahr;Quartal;Monat;Wochentag;Anzahl Bestellungen;Wareneinsatz;Anzahl Artikelstück;Anzahl Bundle;Nettoumsatz;RE1;RE2
 0- 5€;teufel-shop;2017-01-02;2017;2017-01-01;2017-01-01;0;70.29;217.04;393.0;0.0;2575.0;2363.82;1164.75
 5-10€;teufel-shop;2017-01-02;2017;2017-01-01;2017-01-01;0;24.64;582.26;118.0;0.0;1199.17;623.23;403.42
 > 50€;teufel-shop;2017-01-02;2017;2017-01-01;2017-01-01;0;38.58;5620.39;108.0;0.0;6465.81;938.41;154.96
10-25€;teufel-shop;2017-01-02;2017;2017-01-01;2017-01-01;0;55.87;2122.58;190.0;0.0;3317.88;1245.47;686.72
25-50€;teufel-shop;2017-01-02;2017;2017-01-01;2017-01-01;0;39.54;2560.14;121.0;0.0;3348.25;887.88;369.84
 0- 5€;teufel-ebay;2017-01-02;2017;2017-01-01;2017-01-01;0;134.58;199.27;151.0;0.0;1093.13;898.9;266.26
 5-10€;teufel-ebay;2017-01-02;2017;2017-01-01;2017-01-01;0;38.25;272.31;47.0;0.0;605.81;338.71;100.98
 > 50€;teufel-ebay;2017-01-02;2017;2017-01-01;2017-01-01;0;16.33;1109.89;20.0;0.0;1310.94;233.04;-99.83
10-25€;teufel-ebay;2017-01-02;2017;2017-01-01;2017-01-01;0;28.33;412.6;46.0;0.0;731.54;343.92;84.39
25-50€;teufel-ebay;2017-01-02;2017;2017-01-01;2017-01-01;0;25.5;773.1;34.0;0.0;1037.19;286.38;-20.23
 5-10€;teufel-daparto;2017-01-02;2017;2017-01-01;2017-01-01;0;1.5;14.73;2.0;0.0;33.19;18.46;7.4
 > 50€;teufel-daparto;2017-01-02;2017;2017-01-01;2017-01-01;0;6.0;365.84;7.0;0.0;408.93;68.73;-50.31
10-25€;teufel-daparto;2017-01-02;2017;2017-01-01;2017-01-01;0;3.5;42.53;5.0;0.0;78.12;38.74;14.24
25-50€;teufel-daparto;2017-01-02;2017;2017-01-01;2017-01-01;0;4.0;155.59;4.0;0.0;208.26;52.67;4.49
 0- 5€;partsrunner-shop;2017-01-02;2017;2017-01-01;2017-01-01;0;42.37;48.08;291.0;0.0;1198.98;1154.67;722.79
 5-10€;partsrunner-shop;2017-01-02;2017;2017-01-01;2017-01-01;0;20.42;334.23;86.0;0.0;706.0;378.56;235.82
 > 50€;partsrunner-shop;2017-01-02;2017;2017-01-01;2017-01-01;0;16.52;2326.34;33.0;0.0;2524.16;327.78;-25.26
10-25€;partsrunner-shop;2017-01-02;2017;2017-01-01;2017-01-01;0;36.35;1068.15;112.0;0.0;1644.2;586.92;304.43
25-50€;partsrunner-shop;2017-01-02;2017;2017-01-01;2017-01-01;0;23.26;1363.42;68.0;0.0;1777.19;434.75;147.96
 0- 5€;partsrunner-ebay;2017-01-02;2017;2017-01-01;2017-01-01;0;18.0;39.25;21.0;0.0;214.78;175.53;72.07
 5-10€;partsrunner-ebay;2017-01-02;2017;2017-01-01;2017-01-01;0;8.0;48.71;8.0;0.0;114.21;68.32;21.48
 > 50€;partsrunner-ebay;2017-01-02;2017;2017-01-01;2017-01-01;0;21.0;1784.03;23.0;0.0;2056.1;302.94;-178.09
10-25€;partsrunner-ebay;2017-01-02;2017;2017-01-01;2017-01-01;0;12.5;215.79;14.0;0.0;354.63;142.81;32.82
25-50€;partsrunner-ebay;2017-01-02;2017;2017-01-01;2017-01-01;0;10.5;406.27;12.0;0.0;497.53;113.44;-38.11
